--ARVONTATAPA
tamy

--PAIKKOJA
#Edustajiston paikkamäärä
60

--RENKAAT
# renkaan numero, nimi, tunnus
1,Pelastusrengas,Pelast
2,Svenska Nationer och Ämnesföreningar (SNÄf),SNÄf
3,HELP,HELP
4,Maailmanpyörä,MP
5,Osakuntien suuri vaalirengas,Osak
6,Ainejärjestöjen vaalirengas,HYAL

--LIITOT
# liiton numero, renkaan numero, nimi, lyhenne
1,0,Akateemiset piraatit,Pirate
2,0,Tsemppi Group,Tsempp
3,0,Opiskelijademarit,OSY
4,1,Kokoomusopiskelijat 1,Kok1
5,1,Kokoomusopiskelijat 2,Kok2
6,1,Keskeiset,Kesk
7,1,KD Helsingin Opiskelijat,KD
8,2,Codex-Thorax,CodTho
9,2,Nationerna,Nation
10,2,StudOrg,StudO
11,2,Ämnesföreningarna,Ämnesf
12,0,Liberaalinen vaaliliitto - Yksilönvapauden puolesta,Liberal
13,3,Pykälä,Pykälä
14,3,LKS/HLKS,LKSHLKS
15,3,EKY,EKY
16,0,Perussuomalainen vaaliliitto,Peruss
17,4,Sitoutumaton vasemmisto - Obunden vänster - Independent left,SitVas
18,4,HYYn Vihreät - De Gröna vid HUS,HyVi
19,5,ESO,ESO
20,5,SavO,SavO
21,5,HO-Natura,HO-Nat
22,5,KSO-VSO,KSOVSO
23,5,SatO-ESO2,SatESO
24,5,Domus Gaudiumin Osakunnat,DG
25,5,EPO,EPO
26,5,PPO,PPO
27,6,Humanistit,Humani
28,6,Kumpula,Kumpula
29,6,Käyttis,Käyttis
30,6,Teologit,Teolog
31,6,Valtiotieteilijät,Valtio
32,6,Viikki,Viikki
33,0,Vaaliliittoon kuulumaton ehdokas,ITE



--EHDOKKAAT
#ehdokkaan numero, liiton numero, nimi,0
259, 13, Paajanen Sini, 6; 1,0,0
260, 13, Rehula Tero, 5; 3,0,0
261, 13, Rudanko Mikko, 3; 3,0,0
262, 13, Rytkönen Tuomas, 27; 0,0,0
263, 13, Ryynänen Kalle, 3; 1,0,0
264, 13, Salli Saku, 23; 0,0,0
265, 13, Salo Jussi, 19; 0,0,0
266, 13, Supperi Iina-Mari, 18; 0,0,0
267, 13, Säteri Johanna, 8; 1,0,0
268, 13, Termonen Jon, 12; 1,0,0
269, 13, Tuohimaa Kiira, 5; 4,0,0
270, 13, Viljanen Jesse, 9; 2,0,0
271, 13, Vilkko Nelli, 15; 0,0,0
272, 14, Ahmed Abdirisak, 125; 0,0,0
273, 14, Aspelund Aleksanteri, 41; 0,0,0
274, 14, Gogulski Juha, 31; 0,0,0
275, 14, Kaprio Tuomas, 6; 0,0,0
276, 14, Koivunen Riku, 21; 0,0,0
277, 14, Lommi Markus, 25; 0,0,0
278, 14, Rautiola Juhana, 12; 2,0,0
279, 14, Salminen Ville, 12; 1,0,0
280, 14, Sipilä Pyry, 28; 0,0,0
281, 14, Suomalainen Olli, 23; 0,0,0
282, 14, Tamminen Henni, 29; 0,0,0
283, 14, Torkki Matias, 7; 0,0,0
284, 14, Valle Jussi, 27; 2,0,0
285, 14, Vangelova Velina, 70; 0,0,0
286, 14, Yoder Käthe, 27; 1,0,0
287, 15, Bruce Anne, 35; 0,0,0
288, 15, von Freymann Sebastian, 4; 2,0,0
289, 15, Hakanen Anni, 2; 0,0,0
290, 15, Helin Henriikka, 8; 0,0,0
291, 15, Hämäläinen Karoliina, 4; 1,0,0
292, 15, Immonen Isa, 1; 0,0,0
293, 15, Jokinen Olli, 40; 0,0,0
294, 15, Kallio-Kujala Ira, 56; 0,0,0
295, 15, Kiimamaa Raisa, 18; 2,0,0
296, 15, Kilpeläinen Miika, 41; 0,0,0
297, 15, Mäkelä Anna-Leena, 6; 0,0,0
298, 15, Niinimäki Heini, 27; 2,0,0
299, 15, Riihimäki Aino, 18; 1,0,0
300, 15, Sivonen Kaija, 27; 1,0,0
301, 15, Sukura Okko, 5; 0,0,0
302, 15, Tuominen Elli, 23; 0,0,0
303, 16, Grönroos Simo, 12; 0,0,0
304, 16, Nieminen Johannes, 5; 0,0,0
305, 16, Lahtinen Teemu, 33; 0,0,0
306, 17, Ahola Riku, 14; 1,0,0
307, 17, Alhojärvi Lauri, 11; 0,0,0
308, 17, Alhojärvi Tuomo, 47; 2,0,0
309, 17, Alvarez Sebastian, 12; 2,0,0
310, 17, Bennour Nayer, 2; 4,0,0
311, 17, Bruun Otto, 82; 0,0,0
312, 17, Eranti Veikko, 51; 0,0,0
313, 17, Friman Tuula, 12; 3,0,0
314, 17, Guillén Jan, 7; 5,0,0
315, 17, Heinonen Pijatta, 19; 2,0,0
316, 17, Heinonen Tatu, 2; 1,0,0
317, 17, Häkkinen Lari, 2; 2,0,0
318, 17, Hämäläinen Anssi, 4; 2,0,0
319, 17, Immonen Katri, 47; 1,0,0
320, 17, Iso-Markku Antti, 8; 3,0,0
321, 17, Iso-Markku Outi, 9; 1,0,0
322, 17, Järviö Nina, 16; 0,0,0
323, 17, Kangas Heidi, 21; 0,0,0
324, 17, Kiviluoto Oona, 3; 0,0,0
325, 17, Koivulaakso Dan, 5; 1,0,0
326, 17, Konttinen Iiris, 6; 3,0,0
327, 17, Korhonen Juho, 4; 1,0,0
328, 17, Korhonen Mikko, 8; 2,0,0
329, 17, Korhonen Sara, 13; 3,0,0
330, 17, Korkkula Vesa, 19; 1,0,0
331, 17, Kuokkanen Juho, 8; 1,0,0
332, 17, Lehtimäki Tomi, 13; 1,0,0
333, 17, Leppänen Joonas, 7; 4,0,0
334, 17, Lindgren Eetu, 7; 2,0,0
335, 17, Loikkanen Silva, 28; 0,0,0
336, 17, Lundqvist Agneta, 4; 3,0,0
337, 17, Lyyra Gerissa, 41; 0,0,0
338, 17, Nevalainen Laika, 6; 1,0,0
339, 17, Niiranen Esko, 30; 2,0,0
340, 17, Norema Anne, 40; 0,0,0
341, 17, Nuortimo Jussi, 23; 2,0,0
342, 17, Oikkonen Jaana, 13; 2,0,0
343, 17, Pietinen Otto, 6; 4,0,0
344, 17, Pietinen Saara, 22; 0,0,0
345, 17, Punamäki Lauri, 5; 2,0,0
346, 17, Pörrö Tanja, 6; 2,0,0
347, 17, Rauhala Paula, 23; 1,0,0
348, 17, Rosenström Jan, 20; 2,0,0
349, 17, Ruuth Saila, 12; 4,0,0
350, 17, Saari Juhani, 7; 1,0,0
351, 17, Salonen Kuisma, 2; 3,0,0
352, 17, Sivonen Hanna, 7; 3,0,0
353, 17, Strömberg Tomi, 12; 1,0,0
354, 17, Taavetti Riikka, 14; 3,0,0
355, 17, Tenkanen Niilo, 1; 0,0,0
356, 17, Tolvanen Pekka, 17; 0,0,0
357, 17, Tuomainen Katri, 18; 0,0,0
358, 17, Tuomainen Risto, 10; 0,0,0
359, 17, Tuominen Inka, 20; 3,0,0
360, 17, Tuusa Elina, 26; 0,0,0
361, 17, Uusivuori Ville, 9; 2,0,0
362, 17, Viljanen Vuokko, 20; 1,0,0
363, 17, Virkkala Niklas, 30; 1,0,0
