"id","voting_area_id","candidate_id","amount","created_at","updated_at","fixed_amount"
141,1,141,2,"2018-11-02 11:42:11.122068","2018-11-02 11:42:11.122068",
142,1,142,1,"2018-11-02 11:42:11.126429","2018-11-02 11:42:11.126429",
143,1,143,4,"2018-11-02 11:42:11.132471","2018-11-02 11:42:11.132471",
144,1,144,18,"2018-11-02 11:42:11.138809","2018-11-02 11:42:11.138809",
145,1,145,2,"2018-11-02 11:42:11.14496","2018-11-02 11:42:11.14496",
146,1,146,4,"2018-11-02 11:42:11.150037","2018-11-02 11:42:11.150037",
147,1,147,5,"2018-11-02 11:42:11.154734","2018-11-02 11:42:11.154734",
148,1,148,2,"2018-11-02 11:42:11.160343","2018-11-02 11:42:11.160343",
149,1,149,2,"2018-11-02 11:42:11.165807","2018-11-02 11:42:11.165807",
150,1,150,13,"2018-11-02 11:42:11.170968","2018-11-02 11:42:11.170968",
151,1,151,12,"2018-11-02 11:42:11.175595","2018-11-02 11:42:11.175595",
152,1,152,2,"2018-11-02 11:42:11.18036","2018-11-02 11:42:11.18036",
153,1,153,14,"2018-11-02 11:42:11.185347","2018-11-02 11:42:11.185347",
154,1,154,7,"2018-11-02 11:42:11.189998","2018-11-02 11:42:11.189998",
155,1,155,3,"2018-11-02 11:42:11.194165","2018-11-02 11:42:11.194165",
156,1,156,22,"2018-11-02 11:42:11.198848","2018-11-02 11:42:11.198848",
157,1,157,1,"2018-11-02 11:42:11.20325","2018-11-02 11:42:11.20325",
158,1,158,1,"2018-11-02 11:42:11.207461","2018-11-02 11:42:11.207461",
159,1,159,5,"2018-11-02 11:42:11.211819","2018-11-02 11:42:11.211819",
160,1,160,6,"2018-11-02 11:42:11.216727","2018-11-02 11:42:11.216727",
161,1,161,37,"2018-11-02 11:42:11.221228","2018-11-02 11:42:11.221228",
162,1,162,13,"2018-11-02 11:42:11.22549","2018-11-02 11:42:11.22549",
163,1,163,8,"2018-11-02 11:42:11.229671","2018-11-02 11:42:11.229671",
164,1,164,83,"2018-11-02 11:42:11.234128","2018-11-02 11:42:11.234128",
165,1,165,7,"2018-11-02 11:42:11.238438","2018-11-02 11:42:11.238438",
166,1,166,2,"2018-11-02 11:42:11.24293","2018-11-02 11:42:11.24293",
167,1,167,4,"2018-11-02 11:42:11.247212","2018-11-02 11:42:11.247212",
168,1,168,7,"2018-11-02 11:42:11.251292","2018-11-02 11:42:11.251292",
169,1,169,6,"2018-11-02 11:42:11.255554","2018-11-02 11:42:11.255554",
170,1,170,23,"2018-11-02 11:42:11.259732","2018-11-02 11:42:11.259732",
171,1,171,8,"2018-11-02 11:42:11.263676","2018-11-02 11:42:11.263676",
172,1,172,16,"2018-11-02 11:42:11.267714","2018-11-02 11:42:11.267714",
173,1,173,11,"2018-11-02 11:42:11.271808","2018-11-02 11:42:11.271808",
174,1,174,4,"2018-11-02 11:42:11.276179","2018-11-02 11:42:11.276179",
175,1,175,8,"2018-11-02 11:42:11.280336","2018-11-02 11:42:11.280336",
176,1,176,20,"2018-11-02 11:42:11.284438","2018-11-02 11:42:11.284438",
177,1,177,11,"2018-11-02 11:42:11.288676","2018-11-02 11:42:11.288676",
